collision_datetime,collision_time,accident_year,month,day_of_week,analysis_neighborhood
01/18/2023 05:53:00 PM,17:53:00,2023,January,Wednesday,Bayview Hunters Point
02/15/2023 09:30:00 AM,09:30:00,2023,February,Wednesday,Castro/Upper Market
11/11/2007 03:50:00 PM,15:50:00,2007,November,Sunday,Golden Gate Park
07/19/2019 01:50:00 PM,13:50:00,2019,July,Friday,South of Market
05/11/2017 07:53:00 AM,07:53:00,2017,May,Thursday,Russian Hill
05/04/2019 04:39:00 PM,16:39:00,2019,May,Saturday,Western Addition
06/21/2007 04:50:00 PM,16:50:00,2007,June,Thursday,Inner Sunset
01/25/2024 03:33:00 PM,15:33:00,2024,January,Thursday,Lakeshore
08/16/2019 07:17:00 PM,19:17:00,2019,August,Friday,North Beach
01/18/2019 02:27:00 PM,14:27:00,2019,January,Friday,Excelsior
04/07/2021 07:10:00 PM,19:10:00,2021,April,Wednesday,Sunset/Parkside
08/13/2022 03:15:00 PM,15:15:00,2022,August,Saturday,Pacific Heights
04/12/2020 06:05:00 PM,18:05:00,2020,April,Sunday,Presidio Heights
03/03/2016 02:00:00 PM,14:00:00,2016,March,Thursday,Financial District/South Beach
11/15/2017 01:02:00 PM,13:02:00,2017,November,Wednesday,Haight Ashbury
09/22/2023 09:39:00 PM,21:39:00,2023,September,Friday,Visitacion Valley
05/30/2020 04:36:00 PM,16:36:00,2020,May,Saturday,Pacific Heights
12/18/2014 01:00:00 PM,13:00:00,2014,December,Thursday,Financial District/South Beach
08/09/2018 05:30:00 PM,17:30:00,2018,August,Thursday,Mission
03/26/2008 11:00:00 AM,11:00:00,2008,March,Wednesday,West of Twin Peaks
06/24/2021 06:45:00 PM,18:45:00,2021,June,Thursday,Japantown
03/26/2022 05:30:00 PM,17:30:00,2022,March,Saturday,South of Market
11/20/2022 06:20:00 PM,18:20:00,2022,November,Sunday,Marina
11/24/2022 12:35:00 PM,12:35:00,2022,November,Thursday,Financial District/South Beach
12/04/2021 07:00:00 PM,19:00:00,2021,December,Saturday,South of Market
10/17/2022 11:30:00 AM,11:30:00,2022,October,Monday,North Beach
10/01/2015 12:30:00 PM,12:30:00,2015,October,Thursday,Mission Bay
03/03/2015 09:01:00 AM,09:01:00,2015,March,Tuesday,Glen Park
07/28/2005 01:40:00 PM,13:40:00,2005,July,Thursday,Sunset/Parkside
08/11/2014 09:39:00 AM,09:39:00,2014,August,Monday,Presidio Heights
09/29/2005 06:00:00 PM,18:00:00,2005,September,Thursday,Outer Mission
